cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	StudentGroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	safetynet	change	statuslevel	changelevel	color	box	reportingyear
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			SWD	3	4	75										2018
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			WH	3	5	60										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				AA	23	25	92										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				AI	1	1	100										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				ALL	400	420	95.2										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				AS	180	183	98.4										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				EL	61	64	95.3										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				FI	16	18	88.9										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				HI	36	42	85.7										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				HOM	3	3	100										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				MR	10	11	90.9										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				PI	2	3	66.7										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				SED	120	128	93.8										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				SWD	26	37	70.3										2018
01611190130229	S	Alameda High	Alameda Unified	Alameda				WH	132	137	96.4										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			AA	2	4	50										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			AI	1	1	100										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			ALL	42	51	82.4										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			AS	10	11	90.9										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			EL	4	6	66.7										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			FI	1	2	50										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			HI	8	9	88.9										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			MR	6	6	100										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			SED	14	19	73.7										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			SWD	7	9	77.8										2018
01611190130609	S	Alameda Community Learning Center	Alameda Unified	Alameda	Y			WH	14	18	77.8										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			ALL	22	37	59.5										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			EL	8	17	47.1										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			HI	21	36	58.3										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			HOM	2	2	100										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			SED	22	37	59.5										2018
01611190130625	S	Alternatives in Action	Alameda Unified	Alameda	Y			SWD	1	4	25										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				AA	37	40	92.5										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				ALL	225	242	93										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				AS	54	58	93.1										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				EL	50	60	83.3										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				FI	44	45	97.8										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				HI	35	42	83.3										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				HOM	8	8	100										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				MR	20	21	95.2										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				SED	129	142	90.8										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				SWD	16	21	76.2										2018
01611190132142	S	Encinal Junior/Senior High	Alameda Unified	Alameda				WH	35	36	97.2										2018
01611270000000	D		Albany City Unified	Alameda				AA	14	15	93.3										2018
